Name,School,Score
Tyler Rouse,Boston College,-0.5371451446
Kelsey Young,Stanford,-0.5398519096
Jared Baker,Arizona,-0.543543424
Dante Butler,Tulane,-0.544055166
Roc Thomas,Auburn,-0.5446642209
Krysten Hammon,Georgia State,-0.5449539618
Greg Howell,Florida Atlantic,-0.5657113997
C.J. Davidson,Clemson,-0.5711082943
Kalen Ballage,Arizona State,-0.5761211171
Prescott Line,SMU,-0.5778539281
Adam Hine,Brigham Young,-0.5786495808
Brandon Armstrong,UTSA,-0.5797694282
Dare Ogunbowale,Wisconsin,-0.5936423593
Troy McCormick,Utah,-0.5940506567
Adam Choice,Clemson,-0.5949683439
Aaron Kemper,Army,-0.5962168126
Luke Rubenzer,California,-0.6093048506
Akrum Wadley,Iowa,-0.6136199009
Rodrick Williams Jr.,Minnesota,-0.6195295415
Keith Harris Jr.,Northern Illinois,-0.6202206831
Tyler Brown,Iowa State,-0.6220450115
Kenny Bassett,Oregon,-0.6246387707
Justin Goodwin,Rutgers,-0.6290013875
Jordon James,UCLA,-0.6313860313
Martez Walker,Central Michigan,-0.6335573914
D.J. Howard,Clemson,-0.6393529824
Brendan Douglas,Georgia,-0.6397550349
Spencer McInnis,Miami (OH),-0.6432797455
D'Ernest Johnson,South Florida,-0.673590059
B.J. Bostic,Georgia Tech,-0.6851588672
Rashad Hall,Utah State,-0.6873638094
Devante McFarlane,Syracuse,-0.6886863918
Matt Connors,Georgia Tech,-0.6941643964
Tyshon Dye,Clemson,-0.6947934447
Marlin Lane Jr.,Tennessee,-0.7175573433
Kristoffer Olugbode,Idaho,-0.7196512289
Berkley Edwards,Minnesota,-0.7232055974
Anthony Maddie,Northern Illinois,-0.7278304143
Nick Vigil,Utah State,-0.7318966893
Devin Scott,Georgia Southern,-0.734051228
Nate Starks,UCLA,-0.7376056728
Myles Jack,UCLA,-0.7442607262
Dallas Rivers,Vanderbilt,-0.7554321205
George Naufahu,UNLV,-0.7896540875
Kody Walker,Arkansas,-0.7985939488
Tez Parks,Southern Mississippi,-0.8037789676
Tyler Cain,Louisiana-Monroe,-0.8184311603
Justice Hayes,Michigan,-0.8244860788
Brandon Monroe,San Jose State,-0.8252670317
Isaiah Robinson,Wake Forest,-0.8490416484
Nick Griffin,Mississippi State,-0.8665794973
Hosey Williams,Cincinnati,-0.8668859645
Jarred Evans,Cincinnati,-0.8696936073
Kyle Hicks,Texas Christian,-0.8718302933
K.C. Nlemchi,SMU,-0.8720247217
Korliss Marshall,Arkansas,-0.8737053379
Tago Smith,Navy,-0.8742344769
Chris Brown,Oregon State,-0.8918146633
Altee Tenpenny,Alabama,-0.8946734164
Ervin Phillips,Syracuse,-0.8954498995
Micah Reed,UCF,-0.902543024
D'Angelo Brewer,Tulsa,-0.904063633
Kendal Thompson,Utah,-0.9116044599
Jarrod Lawson,San Jose State,-0.9226091033
Zach Zwinak,Penn State,-0.9308097637
Tion Green,Cincinnati,-0.9410600979
Eugene Brazley,Ole Miss,-0.9502483201
Devine Redding,Indiana,-0.9589390156
Jerron Seymour,Vanderbilt,-0.9642906611
Joshua Marriner,Connecticut,-0.9770514029
Kani Benoit,Oregon,-0.9837114344
Quinton White,Texas Tech,-0.9846452421
Aaron Bailey,Illinois,-0.9949566625
Matt Giachinta,Army,-0.9959021297
Broam Hart,Air Force,-0.998167509
Brandon Byrd,Marshall,-1.013651185
Dezmond Wortham,Wake Forest,-1.022966595
Duvall Smith,Georgia State,-1.029202108
Tevin King,Louisiana Tech,-1.030215179
Donnell Kirkwood,Minnesota,-1.03356904
Anthony Meray,Kent State,-1.035201904
Ish Witter,Missouri,-1.037550678
Aaron Duckworth,Idaho,-1.038850452
Joel Caleb,Virginia Tech,-1.046648771
Gerald Howse,Georgia State,-1.047267711
Brandon Hamilton,Rice,-1.047816838
Tre Watson,California,-1.051582598
Joseph Ajeigbe,Duke,-1.051958276
Theron West,Washington State,-1.055037398
Warren Long,Northwestern,-1.056716313
Tavarreon Dickerson,Tulsa,-1.061714373
Dakota Gordon,San Diego State,-1.064509958
Trey Edmunds,Virginia Tech,-1.072411964
Devante Kincade,Ole Miss,-1.093754711
Mack Brown,Florida,-1.108996766
James Toland IV,USC,-1.17669811
Terrance Holingsworth,Arkansas State,-1.17844647
Dorian Brown,Ohio,-1.183994668
Nate Romine,Air Force,-1.187632224
Orville Reynolds,Wake Forest,-1.189552072
Deron Thompson,Colorado State,-1.195742132
J.T. Blyden,Massachusetts,-1.201265804
Thomas Tucker,San Jose State,-1.218196945
Jeremy Liggins,Ole Miss,-1.222439406
Kevin Pope,SMU,-1.232579826
Darius Tice,South Florida,-1.241768594
Brandon Byner,Arkansas State,-1.249447476
George Morris II,Syracuse,-1.254898366
Limihai Hifo,San Jose State,-1.270508744
Ricky Seale,Stanford,-1.290593883
Luke Seeker,SMU,-1.292390976
Chip Chiappialle,Penn State,-1.316598349
Justus Pickett,Tennessee,-1.347354139
Teddy Williamson,Ball State,-1.430978446
